Wahlausgang 2021;;;Erststimmen;;;;;;;Gewonnene Direktmandate;;;;;
Wahlkreis;Wahlberechtigte;Abweichung;CDU;DIE LINKE;SPD;GRUENE;AfD;FDP;Meiste Stimmen;CDU;DIE LINKE;SPD;GRUENE;AfD;FDP
75;207.483;0,8%;20.002;21.291;34.072;45.870;7.597;10.038;45.870;0;0;0;1;0;0
76;235.647;14,5%;23.045;29.559;39.131;46.401;16.242;12.515;46.401;0;0;0;1;0;0
77;176.585;-14,2%;34.233;6.107;32.445;17.621;12.249;10.927;34.233;1;0;0;0;0;0
78;180.251;-12,4%;28.904;6.771;40.451;14.680;12.447;10.492;40.451;0;0;1;0;0;0
79;217.814;5,9%;48.959;7.455;43.465;38.873;9.221;15.967;48.959;1;0;0;0;0;0
80;196.800;-4,3%;34.308;8.802;42.934;37.531;6.539;14.982;42.934;0;0;1;0;0;0
81;231.500;12,5%;38.400;10.673;47.451;44.021;10.005;12.822;47.451;0;0;1;0;0;0
82;197.037;-4,2%;25.577;17.898;35.530;27.104;10.153;8.635;35.530;0;0;1;0;0;0
83;220.014;6,9%;13.030;30.113;29.619;64.542;6.598;9.203;64.542;0;0;0;1;0;0
84;207.127;0,7%;21.142;55.372;24.133;16.137;17.817;9.235;55.372;0;1;0;0;0;0
85;197.988;-3,8%;39.543;29.388;19.892;8.316;20.910;6.180;39.543;1;0;0;0;0;0
86;200.673;-2,5%;17.695;36.813;28.040;19.485;17.356;8.682;36.813;0;1;0;0;0;0
Gesamt;2.468.919;;344.838;260.242;417.163;380.581;147.134;129.678;;3;2;4;3;0;0
Mittelwert;205.743;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Variante 1 der Landeswahlleitung;;;Erststimmen;;;;;;;Gewonnene Direktmandate;;;;;
Wahlkreis;Wahlberechtigte;Abweichung;CDU;DIE LINKE;SPD;GRUENE;AfD;FDP;Meiste Stimmen;CDU;DIE LINKE;SPD;GRUENE;AfD;FDP
75;207.483;-7,6%;20.002;21.291;34.072;45.870;7.597;10.038;45.870;0;0;0;1;0;0
76;221.416;-1,4%;20.179;29.611;34.108;44.094;14.767;11.574;44.094;0;0;0;1;0;0
77;214.294;-4,5%;32.681;16.357;38.315;28.383;15.139;12.262;38.315;0;0;1;0;0;0
78;218.691;-2,6%;38.106;7.451;47.403;17.890;15.529;13.082;47.403;0;0;1;0;0;0
79;217.814;-3,0%;48.959;7.455;43.465;38.873;9.221;15.967;48.959;1;0;0;0;0;0
80;217.663;-3,0%;36.865;9.992;47.051;40.113;7.702;16.140;47.051;0;0;1;0;0;0
81;231.500;3,1%;38.400;10.673;47.451;44.021;10.005;12.822;47.451;0;0;1;0;0;0
82;233.026;3,8%;28.242;28.405;39.389;31.563;12.342;9.800;39.389;0;0;1;0;0;0
83;239.004;6,5%;14.681;36.778;31.873;59.585;9.458;9.542;59.585;0;0;0;1;0;0
84;236.126;5,2%;23.850;57.834;29.592;20.571;20.237;11.002;57.834;0;1;0;0;0;0
85;231.902;3,3%;42.873;34.395;24.444;9.618;25.137;7.449;42.873;1;0;0;0;0;0
86;;;;;;;;;;;;;;;
Gesamt;2.468.919;;344.838;260.242;417.163;380.581;147.134;129.678;;2;1;5;3;0;0
Mittelwert;224.447;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Variante 2 der Landeswahlleitung;;;Erststimmen;;;;;;;Gewonnene Direktmandate;;;;;
Wahlkreis;Wahlberechtigte;Abweichung;CDU;DIE LINKE;SPD;GRUENE;AfD;FDP;Meiste Stimmen;CDU;DIE LINKE;SPD;GRUENE;AfD;FDP
75;222.108;-1,0%;21.164;22.612;36.412;49.146;7.942;10.712;49.146;0;0;0;1;0;0
76;;;;;;;;;;;;;;;
77;223.079;-0,6%;32.732;17.880;39.444;28.780;16.300;12.463;39.444;0;0;1;0;0;0
78;226.820;1,1%;39.864;7.725;49.224;19.244;15.962;13.825;49.224;0;0;1;0;0;0
79;217.814;-3,0%;48.959;7.455;43.465;38.873;9.221;15.967;48.959;1;0;0;0;0;0
80;217.663;-3,0%;36.865;9.992;47.051;40.113;7.702;16.140;47.051;0;0;1;0;0;0
81;231.500;3,1%;38.400;10.673;47.451;44.021;10.005;12.822;47.451;0;0;1;0;0;0
82;222.513;-0,9%;26.717;20.873;38.931;37.057;10.513;9.527;38.931;0;0;1;0;0;0
83;235.197;4,8%;14.199;33.813;31.687;70.531;7.411;10.514;70.531;0;0;0;1;0;0
84;215.764;-3,9%;22.041;56.892;25.448;18.000;18.317;9.763;56.892;0;1;0;0;0;0
85;223.845;-0,3%;41.971;33.731;23.522;10.009;23.548;7.425;41.971;1;0;0;0;0;0
86;232.616;3,6%;21.926;38.596;34.528;24.807;20.213;10.520;38.596;0;1;0;0;0;0
Gesamt;2.468.919;;344.838;260.242;417.163;380.581;147.134;129.678;;2;2;5;2;0;0
Mittelwert;224.447;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Zusammenlegung Sued-Bezirke A;;;Erststimmen;;;;;;;Gewonnene Direktmandate;;;;;
Wahlkreis;Wahlberechtigte;Abweichung;CDU;DIE LINKE;SPD;GRUENE;AfD;FDP;Meiste Stimmen;CDU;DIE LINKE;SPD;GRUENE;AfD;FDP
75;236.362;5,3%;23.570;22.930;39.973;49.987;9.075;11.707;49.987;0;0;0;1;0;0
76;218.559;-2,6%;19.458;28.466;35.085;46.819;13.946;11.225;46.819;0;0;0;1;0;0
77;209.740;-6,6%;38.826;9.290;38.464;21.924;15.136;13.097;38.826;1;0;0;0;0;0
78;220.911;-1,6%;39.988;7.708;49.042;21.414;13.502;14.777;49.042;0;0;1;0;0;0
79;217.814;-3,0%;48.959;7.455;43.465;38.873;9.221;15.967;48.959;1;0;0;0;0;0
80;228.184;1,7%;30.921;12.046;50.462;54.894;6.720;14.027;54.894;0;0;0;1;0;0
81;229.159;2,1%;37.064;15.145;42.309;29.743;11.699;11.207;42.309;0;0;1;0;0;0
82;0;-100,0%;0;0;0;0;0;0;0;0;0;0;0;0;0
83;236.172;5,2%;13.600;33.510;32.660;68.175;6.746;9.061;68.175;0;0;0;1;0;0
84;203.409;-9,4%;28.810;36.902;29.829;13.599;17.969;10.918;36.902;0;1;0;0;0;0
85;231.947;3,3%;43.282;39.470;23.975;11.209;23.575;7.845;43.282;1;0;0;0;0;0
86;236.662;5,4%;20.360;47.320;31.899;23.944;19.545;9.847;47.320;0;1;0;0;0;0
Gesamt;2.468.919;;344.838;260.242;417.163;380.581;147.134;129.678;;3;2;2;4;0;0
Mittelwert;224.447;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Zusammenlegung West-Bezirke;;;Erststimmen;;;;;;;Gewonnene Direktmandate;;;;;
Wahlkreis;Wahlberechtigte;Abweichung;CDU;DIE LINKE;SPD;GRUENE;AfD;FDP;Meiste Stimmen;CDU;DIE LINKE;SPD;GRUENE;AfD;FDP
75;241.655;7,7%;23.888;23.340;41.221;54.770;8.539;11.776;54.770;0;0;0;1;0;0
76;218.559;-2,6%;19.458;28.466;35.085;46.819;13.946;11.225;46.819;0;0;0;1;0;0
77;209.740;-6,6%;38.826;9.290;38.464;21.924;15.136;13.097;38.826;1;0;0;0;0;0
78;221.371;-1,4%;37.069;8.590;49.903;24.572;13.311;13.856;49.903;0;0;1;0;0;0
79;217.814;-3,0%;48.959;7.455;43.465;38.873;9.221;15.967;48.959;1;0;0;0;0;0
80;222.431;-0,9%;33.522;10.754;48.353;46.953;7.447;14.879;48.353;0;0;1;0;0;0
81;229.159;2,1%;37.064;15.145;42.309;29.743;11.699;11.207;42.309;0;0;1;0;0;0
82;0;-100,0%;0;0;0;0;0;0;0;0;0;0;0;0;0
83;236.172;5,2%;13.600;33.510;32.660;68.175;6.746;9.061;68.175;0;0;0;1;0;0
84;203.409;-9,4%;28.810;36.902;29.829;13.599;17.969;10.918;36.902;0;1;0;0;0;0
85;231.947;3,3%;43.282;39.470;23.975;11.209;23.575;7.845;43.282;1;0;0;0;0;0
86;236.662;5,4%;20.360;47.320;31.899;23.944;19.545;9.847;47.320;0;1;0;0;0;0
Gesamt;2.468.919;;344.838;260.242;417.163;380.581;147.134;129.678;;3;2;3;3;0;0
Mittelwert;224.447;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Zusammenlegung Sued-Bezirke B;;;Erststimmen;;;;;;;Gewonnene Direktmandate;;;;;
Wahlkreis;Wahlberechtigte;Abweichung;CDU;DIE LINKE;SPD;GRUENE;AfD;FDP;Meiste Stimmen;CDU;DIE LINKE;SPD;GRUENE;AfD;FDP
75;235.989;5,1%;23.565;22.882;38.877;48.390;9.627;11.250;48.390;0;0;0;1;0;0
76;222.736;-0,8%;20.588;28.316;35.919;47.884;14.118;11.867;47.884;0;0;0;1;0;0
77;243.003;8,3%;45.069;7.829;49.273;21.510;17.279;14.965;49.273;0;0;1;0;0;0
78;0;-100,0%;0;0;0;0;0;0;0;0;0;0;0;0;0
79;220.017;-2,0%;50.282;7.289;45.109;38.228;9.593;16.266;50.282;1;0;0;0;0;0
80;218.503;-2,6%;36.449;9.892;47.058;36.310;8.976;15.766;47.058;0;0;1;0;0;0
81;228.116;1,6%;32.765;11.578;48.458;48.352;8.444;12.723;48.458;0;0;1;0;0;0
82;228.964;2,0%;34.709;18.585;40.931;30.829;11.662;10.655;40.931;0;0;1;0;0;0
83;203.947;-9,1%;12.024;28.023;27.646;59.821;6.007;8.323;59.821;0;0;0;1;0;0
84;206.046;-8,2%;24.947;46.232;26.692;15.325;17.782;9.808;46.232;0;1;0;0;0;0
85;231.947;3,3%;43.282;39.470;23.975;11.209;23.575;7.845;43.282;1;0;0;0;0;0
86;229.651;2,3%;21.158;40.146;33.225;22.723;20.071;10.210;40.146;0;1;0;0;0;0
Gesamt;2.468.919;;344.838;260.242;417.163;380.581;147.134;129.678;;2;2;4;3;0;0
Mittelwert;224.447;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Zusammenlegung Sued-Bezirke C;;;Erststimmen;;;;;;;Gewonnene Direktmandate;;;;;
Wahlkreis;Wahlberechtigte;Abweichung;CDU;DIE LINKE;SPD;GRUENE;AfD;FDP;Meiste Stimmen;CDU;DIE LINKE;SPD;GRUENE;AfD;FDP
75;236.362;5,3%;23.570;22.930;39.973;49.987;9.075;11.707;49.987;0;0;0;1;0;0
76;217.162;-3,2%;17.479;29.459;34.089;51.284;11.967;10.670;51.284;0;0;0;1;0;0
77;244.531;8,9%;43.314;12.641;44.664;24.911;18.837;15.180;44.664;0;0;1;0;0;0
78;220.911;-1,6%;39.988;7.708;49.042;21.414;13.502;14.777;49.042;0;0;1;0;0;0
79;217.814;-3,0%;48.959;7.455;43.465;38.873;9.221;15.967;48.959;1;0;0;0;0;0
80;228.184;1,7%;30.921;12.046;50.462;54.894;6.720;14.027;54.894;0;0;0;1;0;0
81;230.225;2,6%;42.259;10.879;44.391;24.633;13.331;12.826;44.391;0;0;1;0;0;0
82;0;-100,0%;0;0;0;0;0;0;0;0;0;0;0;0;0
83;235.064;4,7%;12.424;34.609;32.370;68.566;5.768;8.189;68.566;0;0;0;1;0;0
84;240.005;6,9%;28.686;56.314;30.775;18.218;20.447;11.473;56.314;0;1;0;0;0;0
85;197.988;-11,8%;39.543;29.388;19.892;8.316;20.910;6.180;39.543;1;0;0;0;0;0
86;200.673;-10,6%;17.695;36.813;28.040;19.485;17.356;8.682;36.813;0;1;0;0;0;0
Gesamt;2.468.919;;344.838;260.242;417.163;380.581;147.134;129.678;;2;2;3;4;0;0
Mittelwert;224.447;;;;;;;;;;;;;;
